"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs36001488-<b>C</b>,"8 x 10-11",,0.48,'-,'-,'-,ATG16L1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:233276621
rs2836882-<b>A</b>,"5 x 10-8",,0.27,'-,'-,'-,RPL23AP12,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,21:39094644
rs2066363-<b>C</b>,"8 x 10-11",,0.34,'-,'-,'-,ADGRL2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:81771892
rs62324212-<b>A</b>,"3 x 10-8",,0.42,'-,'-,'-,IL21-AS1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,4:122639784
rs7725052-<b>C</b>,"8 x 10-11",,0.43,'-,'-,'-,"RNU1-150P, TTC33","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:40487168
rs7831697-<b>G</b>,"5 x 10-7",,0.25,'-,'-,'-,RNU6-144P,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,8:137124061
rs7042370-<b>T</b>,"1 x 10-7",,0.43,'-,'-,'-,"LURAP1L, LURAP1L-AS1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:12785074
rs10988542-<b>C</b>,"7 x 10-7",,0.08,'-,'-,'-,FNBP1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:129894985
rs7100025-<b>G</b>,"8 x 10-11",,0.34,'-,'-,'-,LINC00993,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:37303610
rs11839053-<b>C</b>,"1 x 10-6",,0.02,'-,'-,'-,"RPL35P9, LINC00460","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,13:106410694
rs755374-<b>T</b>,"2 x 10-10",,0.32,'-,'-,'-,"IL12B, LINC01845","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:159402286
rs36051895-<b>T</b>,"9 x 10-8",,0.29,'-,'-,'-,"HNRNPA1P41, JAK2","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:4981866
rs4246905-<b>T</b>,"1 x 10-8",,0.28,'-,'-,'-,TNFSF15,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:114790969
rs11145763-<b>C</b>,"3 x 10-8",,0.4,'-,'-,'-,CARD9,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:136369144
rs706778-<b>T</b>,"6 x 10-9",,0.41,'-,'-,'-,IL2RA,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:6056986
rs10822050-<b>C</b>,"8 x 10-11",,0.39,'-,'-,'-,ALDH7A1P4,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:62679011
rs1250563-<b>C</b>,"1 x 10-8",,0.29,'-,'-,'-,ZMIZ1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:79287626
rs1332099-<b>T</b>,"9 x 10-11",,0.46,'-,'-,'-,"SLC25A28, NKX2-3","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:99538694
rs17885785-<b>T</b>,"8 x 10-11",,0.2,'-,'-,'-,"INS-IGF2, IGF2-AS","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,11:2146620
rs17466626-<b>G</b>,"3 x 10-10",,0.02,'-,'-,'-,LRRK2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,12:40366829
rs1689510-<b>C</b>,"4 x 10-9",,0.31,'-,'-,'-,SUOX,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,12:56002984
rs72743477-<b>G</b>,"8 x 10-11",,0.21,'-,'-,'-,SMAD3,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,15:67171953
rs12598357-<b>G</b>,"4 x 10-9",,0.39,'-,'-,'-,"SBK1, NPIPB6","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:28329624
rs12928404-<b>C</b>,"6 x 10-7",,0.38,'-,'-,'-,ATXN2L,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:28835925
rs34884278-<b>C</b>,"4 x 10-7",,0.3,'-,'-,'-,AIMP1P2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:172869708
rs6689858-<b>C</b>,"2 x 10-7",,0.29,'-,'-,'-,CRB1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:197406337
rs62131887-<b>T</b>,"4 x 10-7",,0.28,'-,'-,'-,"PDE4A, KEAP1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,19:10476920
rs2075184-<b>T</b>,"9 x 10-8",,0.23,'-,'-,'-,"IL18RAP, SLC9A4","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:102464132
rs2738774-<b>A</b>,"9 x 10-7",,0.32,'-,'-,'-,"MHENCR, STMN3","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,20:63637985
rs4676410-<b>A</b>,"2 x 10-7",,0.19,'-,'-,'-,GPR35,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:240624322
rs4625-<b>G</b>,"8 x 10-11",,0.31,'-,'-,'-,DAG1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,3:49534707
rs114846446-<b>A</b>,"2 x 10-7",,0.01,'-,'-,'-,LINC01250,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, psoriasis, ankylosing spondylitis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:2944140
rs7672495-<b>C</b>,"1 x 10-7",,0.18,'-,'-,'-,"CYTL1, RN7SKP113","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,4:4990640
rs7660520-<b>A</b>,"8 x 10-11",,0.26,'-,'-,'-,"DCTD, TENM3","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,4:182824168
rs7731626-<b>A</b>,"1 x 10-10",,0.39,'-,'-,'-,ANKRD55,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:56148856
rs4869313-<b>T</b>,"9 x 10-8",,0.42,'-,'-,'-,ERAP2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:96888176
rs11741255-<b>A</b>,"2 x 10-9",,0.42,'-,'-,'-,"IRF1, IRF1-AS1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:132475490
rs77150043-<b>T</b>,"6 x 10-9",,0.23,'-,'-,'-,ADCY7,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:50270338
rs2807264-<b>C</b>,"1 x 10-8",,0.21,'-,'-,'-,"LINC00892, RNU6-320P","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,X:136583619
rs12863738-<b>T</b>,"6 x 10-8",,0.17,'-,'-,'-,"SRRM1P3, RPL22P23","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,X:136949968
rs4972593-<b>A</b>,"4 x 10-8",(Women),0.14,1.81,'-,[1.47-2.24],'-,"End-stage renal disease in Type 1 diabetics","chronic kidney disease","type 1 diabetes mellitus",GCST002182,2:173598126
rs1326934-<b>T</b>,"6 x 10-7",,0.57,1.19,'-,[1.11-1.27],SORBS1,"Diabetic nephropathy in type 1 diabetes","diabetic nephropathy","type 1 diabetes mellitus",GCST002716,10:95524324
rs17696736-<b>G</b>,"2 x 10-14",,0.42,1.34,'-,[1.16-1.53],NAA25,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,12:112049014
rs6534347-<b>A</b>,"2 x 10-6",,0.35,1.3,'-,[1.10-1.55],KIAA1109,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,4:122277280
rs6679677-<b>A</b>,"5 x 10-26",,0.10,1.82,'-,[1.59-2.09],"RSBN1, PHTF1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,1:113761186
rs11171739-<b>C</b>,"1 x 10-11",,0.42,1.34,'-,[1.17-1.54],ERBB3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,12:56076841
rs12708716-<b>A</b>,"5 x 10-7",,0.65,1.19,'-,[0.97-1.45],CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,16:11086016
rs11052552-<b>G</b>,"7 x 10-7",,0.49,1.49,'-,[1.28-1.73],"CLEC2D, LINC02390","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,12:9703362
rs17388568-<b>A</b>,"3 x 10-6",,0.26,1.26,'-,[1.11-1.42],ADAD1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,4:122408207
rs3764021-<b>C</b>,"5 x 10-8",,0.47,1.57,'-,[1.38-1.79],CLEC2D,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,12:9681032
rs17166496-<b>G</b>,"5 x 10-6",,0.61,1.3,'-,[1.15-1.47],FSTL4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,5:133293192
rs9272346-<b>G</b>,"5 x 10-134",,0.61,5.49,'-,[4.83-6.24],HLA-DQA1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000043,6:32636595
rs61277444-<b>G</b>,"6 x 10-6",,0.08,1.42,'-,[1.20-1.67],PTPN13,"Kidney disease (end stage renal disease vs normoalbuminuria) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003861,4:86607925
rs6027504-<b>T</b>,"3 x 10-6",,0.60,1.21,'-,[1.12-1.30],MIR646HG,"Chronic kidney disease (severe chronic kidney disease vs normal kidney function) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003863,20:60318758
rs1989248-<b>C</b>,"6 x 10-7",,0.29,1.26,'-,[1.15-1.38],RN7SL72P,"Chronic kidney disease (severe chronic kidney disease vs normal kidney function) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003863,7:148443990
rs72809865-<b>T</b>,"7 x 10-6",,0.16,1.17,'-,[1.09-1.26],'-,"Kidney disease (early and late stages) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003864,10:81531934
rs10186458-<b>C</b>,"2 x 10-6",,0.44,1.24,'-,[1.13-1.35],"RNA5SP86, SLC7A15P","Kidney disease (early stage) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003865,2:20398749
rs317865-<b>G</b>,"2 x 10-6",,0.12,1.37,'-,[1.19-1.57],"TAPT1, PROM1","Kidney disease (early stage) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003865,4:16155043
rs35612822-<b>A</b>,"7 x 10-6",,0.68,1.24,'-,[1.13-1.37],RPL37A,"Kidney disease (early stage) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003865,2:216505032
rs72831309-<b>A</b>,"9 x 10-6",,0.04,1.66,'-,[1.34-2.06],TENM2,"Kidney disease (late stage) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003866,5:167551225
rs13217044-<b>A</b>,"4 x 10-6",,0.71,1.15,'-,[1.07-1.23],PDE10A,"Chronic kidney disease (chronic kidney disease vs normal or mildly reduced eGFR) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003867,6:8226764
rs1983890-<b>C</b>,"3 x 10-8",,0.642,1.2302363,'-,[1.14396450049362-1.32301382549448],"RBM17, PFKFB3","Latent autoimmune diabetes","latent autoimmune diabetes in adults",'-,GCST007245,10:6136651
rs11755527-<b>?</b>,"1 x 10-7",,0.443857,1.203898,'-,[1.125016-1.288312],BACH2,"Latent autoimmune diabetes","latent autoimmune diabetes in adults",'-,GCST007245,6:90248512
rs11888640-<b>?</b>,"2 x 10-6",,0.481522,1.1833298,'-,[1.1-1.27],THADA,"Latent autoimmune diabetes","latent autoimmune diabetes in adults",'-,GCST007245,2:43579243
rs9273368-<b>?</b>,"3 x 10-78",,0.301,2.439,'-,[2.222-2.676],"HLA-DQB1, HLA-DQA1","Latent autoimmune diabetes vs. type 2 diabetes","latent autoimmune diabetes in adults, type 2 diabetes mellitus",'-,GCST007246,6:32658698
rs689-<b>?</b>,"1 x 10-18",,0.715,1.473,'-,[1.352-1.605],"INS-IGF2, INS","Latent autoimmune diabetes vs. type 2 diabetes","latent autoimmune diabetes in adults, type 2 diabetes mellitus",'-,GCST007246,11:2160994
rs2476601-<b>?</b>,"5 x 10-16",,0.14,1.529,'-,[1.38-1.693],PTPN22,"Latent autoimmune diabetes vs. type 2 diabetes","latent autoimmune diabetes in adults, type 2 diabetes mellitus",'-,GCST007246,1:113834946
rs3184504-<b>?</b>,"2 x 10-8",,0.52,1.24,'-,[1.151-1.336],"ATXN2, SH2B3","Latent autoimmune diabetes vs. type 2 diabetes","latent autoimmune diabetes in adults, type 2 diabetes mellitus",'-,GCST007246,12:111446804
rs7588550-<b>A</b>,"2 x 10-7",(T1DN),0.95,1.52,'-,[1.30-1.79],ERBB4,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,2:212304043
rs12437854-<b>G</b>,"2 x 10-9","(ESRD vs. non-ESRD)",0.04,1.8,'-,[1.48-2.17],'-,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,15:93598604
rs7583877-<b>C</b>,"1 x 10-8","(ESRD vs. non-ESRD)",0.29,1.29,'-,[1.18-1.40],AFF3,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,2:99844192
rs6027506-<b>A</b>,"5 x 10-6","(ESRD vs. non-ESRD)",0.63,1.22,'-,[1.12-1.32],MIR646HG,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,20:60321657
rs7583877-<b>C</b>,"3 x 10-7",(ESRD),0.30,1.29,'-,[1.17-1.42],AFF3,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,2:99844192
rs11723864-<b>G</b>,"7 x 10-7",(ESRD),0.11,1.51,'-,[1.29-1.78],HAND2-AS1,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,4:173653255
rs878889-<b>A</b>,"8 x 10-7",(ESRD),0.13,1.43,'-,[1.24-1.65],OTX2,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,14:56754421
rs614226-<b>C</b>,"2 x 10-6",(ESRD),0.83,1.35,'-,[1.19-1.54],RNF10,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,12:120536707
rs13045180-<b>T</b>,"9 x 10-6",(ESRD),0.19,1.28,'-,[1.15-1.43],EFCAB8,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,20:32943738
rs11698685-<b>G</b>,"1 x 10-6",(ESRD),0.68,1.27,'-,[1.15-1.39],MIR646HG,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,20:60320788
rs4871297-<b>A</b>,"2 x 10-6",(ESRD),0.52,1.23,'-,[1.14-1.35],LINC01151,"Type 1 diabetes nephropathy","diabetic nephropathy","type 1 diabetes mellitus",GCST001688,8:122693916
rs61277444-<b>G</b>,"2 x 10-6",,0.08,1.41,'-,[1.21-1.65],PTPN13,"Kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003862,4:86607925
rs7562121-<b>C</b>,"4 x 10-7",,0.24,1.27,'-,[1.17-1.39],AFF3,"Kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes","chronic kidney disease, diabetic nephropathy","type 1 diabetes mellitus",GCST003862,2:99767892
rs55703767-<b>G</b>,"5 x 10-12",,0.794,1.2658228,'-,[NR],"MFF-DT, COL4A3","Diabetic nephropathy in type 1 diabetes","diabetic nephropathy","type 1 diabetes mellitus",GCST009278,2:227256385
rs191449639-<b>A</b>,"1 x 10-8",,0.005,32.42,'-,[NR],"AMTN, MUC7","Diabetic nephropathy in type 1 diabetes","diabetic nephropathy","type 1 diabetes mellitus",GCST009278,4:70493059
rs55703767-<b>G</b>,"9 x 10-9",,0.794,1.2820514,'-,[NR],"MFF-DT, COL4A3","Macroalbuminuria in type 1 diabetes",albuminuria,"type 1 diabetes mellitus",GCST009284,2:227256385
rs113554206-<b>A</b>,"5 x 10-7",,0.012,4.6,'-,[NR],PAPLN,"Macroalbuminuria in type 1 diabetes",albuminuria,"type 1 diabetes mellitus",GCST009284,14:73273542
rs115061173-<b>A</b>,"4 x 10-8",,0.014,9.4,'-,[NR],"LINC01266, RN7SL120P","End-stage renal disease in Type 1 diabetics","diabetic nephropathy","type 1 diabetes mellitus",GCST009279,3:884662
rs116216059-<b>A</b>,"1 x 10-8",,0.016,8.73,'-,[NR],STAC,"Kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes","diabetic nephropathy","type 1 diabetes mellitus",GCST009280,3:36524820
rs551191707-<b>CA</b>,"4 x 10-8",,0.122,1.7,'-,[NR],"PCAT1, CASC19, PRNCR1","Kidney disease (end stage renal disease vs macroalbuminuria) in type 1 diabetes","albuminuria, diabetic nephropathy","type 1 diabetes mellitus",GCST009285,8:127087785
rs142823282-<b>G</b>,"8 x 10-10",,0.011,6.73,'-,[NR],FANCD2P2,"Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,3:11869161
rs145681168-<b>G</b>,"2 x 10-7",,0.014,5.53,'-,[NR],HAND2-AS1,"Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,4:173579655
rs118124843-<b>T</b>,"4 x 10-8",,0.011,3.79,'-,[NR],VARS2,"Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,6:30919688
rs61983410-<b>C</b>,"1 x 10-7",,0.787,1.2658228,'-,[NR],'-,"Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,14:25535506
rs144434404-<b>T</b>,"3 x 10-9",,0.011,6.78,'-,[NR],BMP7,"Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,20:57262207
rs77273076-<b>T</b>,"1 x 10-8",,0.008,9.16,'-,[NR],"RPL7P60, MBLAC1","Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,7:100130923
rs183937294-<b>G</b>,"2 x 10-8",,0.007,17.22,'-,[NR],PLEKHA7,"Microalbuminuria in type 1 diabetes","Moderate albuminuria","type 1 diabetes mellitus",GCST009281,11:16916299
